0	322	204
0	343	820
0	358	4135
0	453	407
0	509	25548
1	93	7196
100	343	820
100	395	2360
10000	37	5762
10000	379	298
10000	435	495
10000	504	19897
10001	435	7902
10002	435	847
10003	395	7817
10003	435	847
10004	93	3587
10005	435	59
10005	453	3231
10006	19	7116
10006	30	6346
10006	88	13794
10006	107	13665
10006	107	14036
10006	190	820
10006	195	820
10006	234	18889
10006	234	5561
10006	238	10007
10006	240	3764
10006	245	204
10006	385	2598
10006	391	2115
10006	391	43
10006	391	501
10006	391	511
10006	391	532
10006	391	543
10006	407	10007
10006	435	773
10006	458	14750
10006	459	7198
10006	491	6346
10006	516	14199
10006	530	8315
10006	536	21085
10006	536	31076
10006	536	5561
10007	30	6346
10007	126	10006
10007	190	820
10007	234	18889
10007	234	5561
10007	240	3764
10007	245	204
10007	385	2598
10007	391	503
10007	391	543
10007	435	773
10007	447	10006
10007	473	20168
10007	536	5561
10009	343	820
10009	352	10848
1001	107	130
1001	107	14648
1001	107	3288
1001	170	13906
1001	170	5823
1001	170	8796
1001	190	820
1001	240	3764
1001	245	298
1001	361	848
1001	391	17023
1001	391	454
1001	435	773
1001	473	14433
10010	107	10379
10010	107	3288
10010	190	820
10010	195	820
10010	234	19193
10010	240	3764
10010	245	1666
10010	435	773
10010	473	2763
10011	170	10278
10011	170	8876
10011	379	1201
10011	379	16240
10011	379	1690
10011	379	29059
10011	379	308
10011	379	413
10011	379	5528
10011	379	7082
10011	412	10012
10011	435	541
10011	435	6047
10012	42	13585
10012	42	14710
10012	42	16630
10012	42	20195
10012	42	25666
10012	42	27702
10012	42	4005
10012	42	5920
10012	42	7021
10012	42	8082
10012	42	8877
10012	86	8878
10012	118	1315
10012	282	14440
10012	282	1891
10012	379	1201
10012	379	28731
10012	379	57
10012	435	522
10013	190	536
10013	240	3764
10013	435	773
10013	473	10012
10013	516	10012
10014	282	14440
10014	282	1891
10014	379	1201
10014	504	97
10015	343	461
10015	343	77
10015	343	93
10015	395	8628
10016	107	17221
10016	107	18589
10016	190	536
10016	240	3764
10016	245	1201
10016	435	773
10016	473	10012
10016	516	97
10017	175	2290
10017	435	4270
10017	464	6167
10017	488	1701
10017	550	4988
10019	262	15915
10019	464	6167
1002	322	298
1002	343	820
1002	356	28159
1002	356	5441
1002	435	21138
10020	379	298
10020	435	59
10020	453	17
10021	379	204
10021	391	10364
10021	504	407
10022	88	3830
10022	107	19279
10022	107	9167
10022	190	536
10022	190	820
10022	209	6714
